Targets, Observers 21 2
Main in iteration 0
Observers observed in 264is 0
Observers observed in 265is 0
Observers observed in 266is 0
Observers observed in 267is 0
Observers observed in 268is 0
Observers observed in 269is 0
Observers observed in 270is 0
Observers observed in 271is 0
Observers observed in 272is 0
Observers observed in 273is 0
Observers observed in 274is 0
Observers observed in 275is 0
Observers observed in 276is 0
Observers observed in 277is 0
Observers observed in 278is 0
Observers observed in 279is 0
Observers observed in 280is 0
Observers observed in 281is 0
Observers observed in 282is 0
Observers observed in 283is 0
Observers observed in 284is 0
Observers observed in 285is 0
Observers observed in 286is 0
Observers observed in 287is 0
Observers observed in 288is 0
Observers observed in 289is 0
Observers observed in 290is 0
Observers observed in 291is 0
Observers observed in 292is 0
Observers observed in 293is 0
Observers observed in 294is 0
Observers observed in 295is 0
Observers observed in 296is 0
Observers observed in 297is 1
Observers observed in 298is 1
Observers observed in 299is 1
Observers observed in 300is 1
Observers observed in 301is 1
Observers observed in 302is 1
Observers observed in 303is 1
Observers observed in 304is 1
Observers observed in 305is 1
Observers observed in 306is 1
Observers observed in 307is 1
Observers observed in 308is 1
Observers observed in 309is 1
Observers observed in 310is 1
Observers observed in 311is 1
Observers observed in 312is 1
Observers observed in 313is 1
Observers observed in 314is 1
Observers observed in 315is 1
Observers observed in 316is 1
Observers observed in 317is 1
Observers observed in 318is 1
Observers observed in 319is 1
Observers observed in 320is 1
Observers observed in 321is 1
Observers observed in 322is 1
Observers observed in 323is 1
Observers observed in 324is 1
Observers observed in 325is 1
Observers observed in 326is 0
Observers observed in 327is 0
Observers observed in 328is 0
Observers observed in 329is 0
Observers observed in 330is 0
Observers observed in 331is 0
Observers observed in 332is 0
Observers observed in 333is 0
Observers observed in 334is 0
Observers observed in 335is 0
Observers observed in 336is 0
Observers observed in 337is 0
Observers observed in 338is 0
Observers observed in 339is 0
Observers observed in 340is 1
Observers observed in 341is 1
Observers observed in 342is 1
Observers observed in 343is 1
Observers observed in 344is 1
Observers observed in 345is 1
Observers observed in 346is 1
Observers observed in 347is 1
Observers observed in 348is 1
Observers observed in 349is 1
Observers observed in 350is 1
Observers observed in 351is 1
Observers observed in 352is 1
Observers observed in 353is 1
Observers observed in 354is 2
Observers observed in 355is 2
Observers observed in 356is 2
Observers observed in 357is 2
Observers observed in 358is 2
Observers observed in 359is 2
Observers observed in 360is 2
Observers observed in 361is 2
Observers observed in 362is 2
Observers observed in 363is 2
Observers observed in 364is 2
Observers observed in 365is 2
Observers observed in 366is 2
Observers observed in 367is 2
Observers observed in 368is 2
Observers observed in 369is 2
Observers observed in 370is 2
Observers observed in 371is 2
Observers observed in 372is 2
Observers observed in 373is 2
Observers observed in 374is 2
Observers observed in 375is 1
Observers observed in 376is 2
Observers observed in 377is 2
Observers observed in 378is 2
Observers observed in 379is 1
Observers observed in 380is 1
Observers observed in 381is 1
Observers observed in 382is 2
Observers observed in 383is 2
Observers observed in 384is 2
Observers observed in 385is 1
Observers observed in 386is 0
Observers observed in 387is 0
Observers observed in 388is 0
Observers observed in 389is 0
Observers observed in 390is 0
Observers observed in 391is 0
Observers observed in 392is 0
Observers observed in 393is 0
Observers observed in 394is 0
Observers observed in 395is 0
Observers observed in 396is 0
Observers observed in 397is 0
Observers observed in 398is 1
Observers observed in 399is 1
Observers observed in 400is 0
Observers observed in 401is 1
Observers observed in 402is 1
Observers observed in 403is 1
Observers observed in 404is 2
Observers observed in 405is 2
Observers observed in 406is 2
Observers observed in 407is 2
Observers observed in 408is 2
Observers observed in 409is 2
Observers observed in 410is 2
Observers observed in 411is 2
Observers observed in 412is 2
Observers observed in 413is 2
Observers observed in 414is 1
Observers observed in 415is 1
Observers observed in 416is 1
Observers observed in 417is 1
Observers observed in 418is 1
Observers observed in 419is 1
Observers observed in 420is 1
Observers observed in 421is 1
Observers observed in 422is 1
Observers observed in 423is 1
Observers observed in 424is 1
Observers observed in 425is 1
Observers observed in 426is 1
Observers observed in 427is 1
Observers observed in 428is 1
Observers observed in 429is 1
Observers observed in 430is 1
Observers observed in 431is 1
Observers observed in 432is 1
Observers observed in 433is 1
Observers observed in 434is 1
Observers observed in 435is 1
Observers observed in 436is 1
Observers observed in 437is 1
Observers observed in 438is 0
Observers observed in 439is 0
Observers observed in 440is 0
Observers observed in 441is 0
Observers observed in 442is 0
Observers observed in 443is 0
Observers observed in 444is 0
Observers observed in 445is 0
Observers observed in 446is 0
Observers observed in 447is 0
Observers observed in 448is 0
Observers observed in 449is 0
Observers observed in 450is 0
Observers observed in 451is 0
Observers observed in 452is 0
Observers observed in 453is 0
Observers observed in 454is 0
Observers observed in 455is 0
Observers observed in 456is 0
Observers observed in 457is 0
Observers observed in 458is 0
Observers observed in 459is 0
Observers observed in 460is 0
Observers observed in 461is 0
Observers observed in 462is 1
Observers observed in 463is 1
Observers observed in 464is 1
Observers observed in 465is 1
Observers observed in 466is 1
Observers observed in 467is 1
Observers observed in 468is 1
Observers observed in 469is 0
Observers observed in 470is 0
Observers observed in 471is 0
Observers observed in 472is 0
Observers observed in 473is 1
Observers observed in 474is 1
Observers observed in 475is 1
Observers observed in 476is 1
Observers observed in 477is 1
Observers observed in 478is 1
Observers observed in 479is 1
Observers observed in 480is 1
Observers observed in 481is 1
Observers observed in 482is 1
Observers observed in 483is 1
Observers observed in 484is 1
Observers observed in 485is 1
Observers observed in 486is 1
Observers observed in 487is 1
Observers observed in 488is 1
Observers observed in 489is 1
Observers observed in 490is 1
Observers observed in 491is 1
Observers observed in 492is 1
Observers observed in 493is 1
Observers observed in 494is 1
Observers observed in 495is 1
Observers observed in 496is 1
Observers observed in 497is 1
Observers observed in 498is 1
Observers observed in 499is 1
Observers observed in 500is 1
Observers observed in 501is 1
Observers observed in 502is 1
Observers observed in 503is 1
Observers observed in 504is 0
Observers observed in 505is 0
Observers observed in 506is 0
Observers observed in 507is 0
Observers observed in 508is 0
Observers observed in 509is 0
Observers observed in 510is 0
Observers observed in 511is 0
Observers observed in 512is 0
Observers observed in 513is 0
Observers observed in 514is 0
Observers observed in 515is 0
Observers observed in 516is 0
Observers observed in 517is 0
Observers observed in 518is 0
Observers observed in 519is 0
Observers observed in 520is 0
Observers observed in 521is 0
Observers observed in 522is 0
Observers observed in 523is 0
Observers observed in 524is 0
Observers observed in 525is 0
Observers observed in 526is 0
Observers observed in 527is 0
Observers observed in 528is 0
Observers observed in 529is 0
Observers observed in 530is 0
Observers observed in 531is 0
Observers observed in 532is 0
Observers observed in 533is 0
Observers observed in 534is 0
Observers observed in 535is 0
Observers observed in 536is 0
Observers observed in 537is 0
Observers observed in 538is 0
Observers observed in 539is 0
Observers observed in 540is 0
Observers observed in 541is 0
Observers observed in 542is 0
Observers observed in 543is 0
Observers observed in 544is 0
Observers observed in 545is 0
Observers observed in 546is 0
Observers observed in 547is 0
Observers observed in 548is 0
Observers observed in 549is 0
Observers observed in 550is 0
Observers observed in 551is 0
Observers observed in 552is 0
Observers observed in 553is 0
Observers observed in 554is 0
Observers observed in 555is 0
Observers observed in 556is 0
Observers observed in 557is 0
Observers observed in 558is 0
Observers observed in 559is 0
Observers observed in 560is 0
Observers observed in 561is 0
Observers observed in 562is 0
Observers observed in 563is 0
Observers observed in 564is 0
Observers observed in 565is 0
Observers observed in 566is 0
Observers observed in 567is 0
Observers observed in 568is 0
Observers observed in 569is 0
Observers observed in 570is 0
Observers observed in 571is 0
Observers observed in 572is 0
Observers observed in 573is 0
Observers observed in 574is 0
Observers observed in 575is 0
Observers observed in 576is 0
Observers observed in 577is 0
Observers observed in 578is 0
Observers observed in 579is 0
Observers observed in 580is 0
Observers observed in 581is 0
Observers observed in 582is 0
Observers observed in 583is 0
Observers observed in 584is 0
Observers observed in 585is 0
Observers observed in 586is 0
Observers observed in 587is 0
Observers observed in 588is 0
Observers observed in 589is 0
Observers observed in 590is 0
Observers observed in 591is 0
Observers observed in 592is 0
Observers observed in 593is 0
Observers observed in 594is 0
Observers observed in 595is 0
Observers observed in 596is 0
Observers observed in 597is 0
Observers observed in 598is 0
Observers observed in 599is 0
Observers observed in 600is 0
Observers observed in 601is 0
Observers observed in 602is 0
Observers observed in 603is 0
Observers observed in 604is 0
Observers observed in 605is 1
Observers observed in 606is 1
Observers observed in 607is 2
Observers observed in 608is 2
Observers observed in 609is 3
Observers observed in 610is 1
Observers observed in 611is 1
Observers observed in 612is 1
Observers observed in 613is 1
Observers observed in 614is 1
Observers observed in 615is 1
Observers observed in 616is 1
Observers observed in 617is 1
Observers observed in 618is 1
Observers observed in 619is 1
Observers observed in 620is 1
Observers observed in 621is 1
Observers observed in 622is 1
Observers observed in 623is 0
Observers observed in 624is 0
Observers observed in 625is 0
Observers observed in 626is 0
Observers observed in 627is 0
Observers observed in 628is 0
Observers observed in 629is 0
Observers observed in 630is 0
Observers observed in 631is 0
Observers observed in 632is 0
Observers observed in 633is 0
Observers observed in 634is 0
Observers observed in 635is 0
Observers observed in 636is 0
Observers observed in 637is 0
Observers observed in 638is 0
Observers observed in 639is 0
Observers observed in 640is 0
Observers observed in 641is 0
Observers observed in 642is 0
Observers observed in 643is 0
Observers observed in 644is 0
Observers observed in 645is 0
Observers observed in 646is 0
Observers observed in 647is 1
Observers observed in 648is 1
Observers observed in 649is 1
Observers observed in 650is 1
Observers observed in 651is 1
Observers observed in 652is 1
Observers observed in 653is 1
Observers observed in 654is 0
Observers observed in 655is 0
Observers observed in 656is 0
Observers observed in 657is 0
Observers observed in 658is 0
Observers observed in 659is 0
Observers observed in 660is 0
Observers observed in 661is 0
Observers observed in 662is 0
Observers observed in 663is 0
Observers observed in 664is 0
Observers observed in 665is 0
Observers observed in 666is 0
Observers observed in 667is 0
Observers observed in 668is 0
Observers observed in 669is 1
Observers observed in 670is 1
Observers observed in 671is 1
Observers observed in 672is 1
Observers observed in 673is 1
Observers observed in 674is 1
Observers observed in 675is 1
Observers observed in 676is 1
Observers observed in 677is 1
Observers observed in 678is 1
Observers observed in 679is 2
Observers observed in 680is 3
Observers observed in 681is 3
Observers observed in 682is 3
Observers observed in 683is 3
Observers observed in 684is 3
Observers observed in 685is 3
Observers observed in 686is 3
Observers observed in 687is 3
Observers observed in 688is 3
Observers observed in 689is 3
Observers observed in 690is 3
Observers observed in 691is 3
Observers observed in 692is 3
Observers observed in 693is 3
Observers observed in 694is 3
Observers observed in 695is 4
Observers observed in 696is 4
Observers observed in 697is 4
Observers observed in 698is 4
Observers observed in 699is 3
Observers observed in 700is 3
Observers observed in 701is 3
Observers observed in 702is 3
Observers observed in 703is 3
Observers observed in 704is 3
Observers observed in 705is 3
Observers observed in 706is 3
Observers observed in 707is 3
Observers observed in 708is 3
Observers observed in 709is 2
Observers observed in 710is 3
Observers observed in 711is 3
Observers observed in 712is 3
Observers observed in 713is 3
Observers observed in 714is 3
Observers observed in 715is 3
Observers observed in 716is 2
Observers observed in 717is 2
Observers observed in 718is 2
Observers observed in 719is 2
Observers observed in 720is 2
Observers observed in 721is 2
Observers observed in 722is 2
Observers observed in 723is 3
Observers observed in 724is 3
Observers observed in 725is 3
Observers observed in 726is 3
Observers observed in 727is 3
Observers observed in 728is 3
Observers observed in 729is 3
Observers observed in 730is 3
Observers observed in 731is 3
Observers observed in 732is 3
Observers observed in 733is 3
Observers observed in 734is 3
Observers observed in 735is 3
Observers observed in 736is 3
Observers observed in 737is 3
Observers observed in 738is 3
Observers observed in 739is 3
Observers observed in 740is 3
Observers observed in 741is 3
Observers observed in 742is 3
Observers observed in 743is 3
Observers observed in 744is 3
Observers observed in 745is 3
Observers observed in 746is 3
Observers observed in 747is 3
Observers observed in 748is 3
Observers observed in 749is 3
Observers observed in 750is 3
Observers observed in 751is 3
